date,buy,sell,margin,amt,rate,value,mar,bid bro,offer bro,time
2023-01-02,hana sec,kookmin,0,13,1268.9,2023-01-04,1268.9,"78,000","78,000",8:44
2023-01-02,hana sec,keb hana,0,37,1268.9,2023-01-04,1268.9,"222,000",-,8:47
2023-01-02,keb hana,shinhan,0,37,1268.9,2023-01-04,1268.9,-,"222,000",8:47
2023-01-02,hana sec,socgen,0,11,1268.9,2023-01-04,1268.9,"66,000","66,000",9:50
2023-01-02,keb hana,hana sec,0,57,1268.9,2023-01-04,1268.9,"342,000","342,000",10:18
2023-01-02,morgan,hana sec,0,50,1268.9,2023-01-04,1268.9,200,"300,000",10:18
2023-01-02,jpmc,hana sec,0,10,1268.9,2023-01-04,1268.9,"60,000","60,000",10:18
2023-01-03,ing,nh-invest,0,12,1272.1,2023-01-05,1272.1,"60,000",-,16:26
2023-01-03,nh-invest,korea invest,0,12,1272.1,2023-01-05,1272.1,-,"72,000",16:26
2023-01-03,ing,kookmin,0,14,1272.1,2023-01-05,1272.1,"70,000","84,000",16:26
2023-01-03,ing,citi,0,50,1272.1,2023-01-05,1272.1,"250,000","300,000",16:26
2023-01-03,shinhan,hsbc,0,33,1272.1,2023-01-05,1272.1,"198,000","132,000",8:21
2023-01-03,shinhan,mizuho,0,10,1272.1,2023-01-05,1272.1,"60,000","60,000",8:21
2023-01-03,jpmc,hsbc,0,12,1272.1,2023-01-05,1272.1,"72,000","48,000",8:23
2023-01-03,mufg,hsbc,0,18,1272.1,2023-01-05,1272.1,"108,000","72,000",8:36
2023-01-03,hana sec,shinhan invest,0,39,1272.1,2023-01-05,1272.1,"234,000","234,000",8:36
2023-01-03,hana sec,korea invest,0,10,1272.1,2023-01-05,1272.1,"60,000","60,000",8:36
2023-01-03,hsbc,mizuho,0,20.5,1272.1,2023-01-05,1272.1,"82,000","123,000",8:45
2023-01-03,hsbc,korea invest,0,15,1272.1,2023-01-05,1272.1,"60,000","90,000",8:45
2023-01-03,kdb,jpmc,5,5,1272.15,2023-01-05,1272.1,"30,000","30,000",8:55
2023-01-04,ing,nh-invest,0,8,1274.7,2023-01-06,1274.7,"40,000",-,9:03
2023-01-04,nh-invest,korea invest,0,8,1274.7,2023-01-06,1274.7,-,"48,000",9:03
2023-01-04,hsbc,shinhan invest,0,100,1274.7,2023-01-06,1274.7,"400,000","600,000",9:09
2023-01-04,hsbc,korea invest,0,19,1274.7,2023-01-06,1274.7,"76,000","114,000",9:14
2023-01-04,mizuho,kookmin,0,6,1274.7,2023-01-06,1274.7,"36,000","36,000",8:56
2023-01-04,mizuho,boa,0,3,1274.7,2023-01-06,1274.7,"18,000","18,000",9:05
2023-01-04,jpmc,hana sec,0,50,1274.7,2023-01-06,1274.7,"300,000","300,000",9:15
2023-01-04,kookmin,ca-cib,0,37,1274.7,2023-01-06,1274.7,"222,000","222,000",9:15
2023-01-04,shinhan,citi,0,27,1274.7,2023-01-06,1274.7,"162,000","162,000",8:58
2023-01-04,socgen,hana sec,5,84.5,1274.75,2023-01-06,1274.7,"507,000","507,000",9:07
2023-01-04,socgen,ca-cib,5,31,1274.75,2023-01-06,1274.7,"186,000","186,000",9:07
2023-01-04,mizuho,ca-cib,5,200,1274.75,2023-01-06,1274.7,"1,200,000","1,200,000",9:07
2023-01-05,kookmin,korea invest,0,39,1270.3,2023-01-09,1270.3,"234,000","234,000",10:20
2023-01-05,kookmin,bnp,0,31,1270.3,2023-01-09,1270.3,"186,000","93,000",8:57
2023-01-05,nh-invest,bnp,0,30,1270.3,2023-01-09,1270.3,"180,000","90,000",8:57
2023-01-05,korea invest,bnp,0,1,1270.3,2023-01-09,1270.3,"6,000","3,000",8:57
2023-01-05,keb hana,ca-cib,0,42,1270.3,2023-01-09,1270.3,"252,000","252,000",9:15
2023-01-05,morgan,kookmin,0,17,1270.3,2023-01-09,1270.3,68,"102,000",9:02
2023-01-05,citi,bnp,0,38,1270.3,2023-01-09,1270.3,"228,000","114,000",8:57
2023-01-05,hsbc,nh-invest,5,50,1270.35,2023-01-09,1270.3,"200,000","300,000",9:03
2023-01-05,hsbc,hana sec,5,50,1270.35,2023-01-09,1270.3,"200,000","300,000",9:03
2023-01-05,hsbc,ca-cib,5,55,1270.35,2023-01-09,1270.3,"220,000","330,000",9:03
2023-01-05,sc,ca-cib,5,46,1270.35,2023-01-09,1270.3,"230,000","276,000",9:05
2023-01-05,mizuho,bny,5,26.5,1270.35,2023-01-09,1270.3,"159,000","159,000",9:01
2023-01-06,mizuho,socgen,0,53.5,1267.2,2023-01-10,1267.2,"321,000","321,000",8:57
