banks,currency,amount per mio
ANZ SL,krw,"6,000"
BONY SL,krw,"6,000"
BBVA SL,krw,"6,000"
BNP SL,krw,"3,000"
BOA SL,krw,"6,000"
MUFG SL,krw,"6,000"
BUSAN SL,krw,"6,000"
CA-CIB SL,krw,"6,000"
CCB SL,krw,"6,000"
CITI SL,krw,"6,000"
DAEGU SL,krw,"6,000"
DBS SL,krw,"6,000"
DEUTSCHE SL,krw,"6,000"
DAISHIN SL,krw,"6,000"
HSBC SL,krw,"4,000"
IBK SL,krw,"6,000"
ICBC SL,krw,"6,000"
ING SL,krw,"5,000"
JPMC SL,krw,"6,000"
KOOKMIN SL,krw,"6,000"
KDB SL,krw,"6,000"
KEB HANA SL,krw,"6,000"
KEB SL,krw,"6,000"
HANA SL,krw,"6,000"
BOC SL,krw,"6,000"
MERITZ SL,krw,"6,000"
MIRAE SL,krw,"6,000"
MIZUHO SL,krw,"6,000"
MORGAN SL,usd,4
NOMURA SL,krw,"6,000"
NONGHYUP SL,krw,"6,000"
NOVA SL,krw,"6,000"
KOREA INVEST SL,krw,"6,000"
SC SL,krw,"5,000"
SHINHAN SL,krw,"6,000"
SOCGEN SL,krw,"6,000"
SSBT SL,krw,"6,000"
SUHYUP SL,krw,"6,000"
UBS SL,usd,5
UOB SL,krw,"6,000"
WOORI SL,krw,"6,000"
NH-INVEST SL,krw,"6,000"
HANA SEC SL,krw,"6,000"
SHINHAN INVEST SL,krw,"6,000"
KB SEC SL,krw,"6,000"
SAMSUNG SEC SL,krw,"6,000"
KIWOOM SL,krw,"6,000"
SMBC SL,krw,"6,000"
KYONGNAM SL,krw,"6,000"
IBK SEC SL,krw,"6,000"
