bank,,,,,tenor,,,,,,,,,,,,,,,,,,,,,,,,,58
from,to,allows switch,can switch,spot,on,tn,sn,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,2y,3y,4y,5y,6y,10y,1,
ANZ,ANZ,ANZANZallows switch,ANZANZcan switch,ANZANZspot,ANZANZon,ANZANZtn,ANZANZsn,ANZANZ1w,ANZANZ2w,ANZANZ3w,ANZANZ1m,ANZANZ2m,ANZANZ3m,ANZANZ4m,ANZANZ5m,ANZANZ6m,ANZANZ7m,ANZANZ8m,ANZANZ9m,ANZANZ10m,ANZANZ11m,ANZANZ1y,ANZANZ2y,ANZANZ3y,ANZANZ4y,ANZANZ5y,ANZANZ6y,ANZANZ10y,ANZ SL,ANZ SL
ANZ,BNY,ANZBNYallows switch,ANZBNYcan switch,ANZBNYspot,ANZBNYon,ANZBNYtn,ANZBNYsn,ANZBNY1w,ANZBNY2w,ANZBNY3w,ANZBNY1m,ANZBNY2m,ANZBNY3m,ANZBNY4m,ANZBNY5m,ANZBNY6m,ANZBNY7m,ANZBNY8m,ANZBNY9m,ANZBNY10m,ANZBNY11m,ANZBNY1y,ANZBNY2y,ANZBNY3y,ANZBNY4y,ANZBNY5y,ANZBNY6y,ANZBNY10y,ANZ SL,ANZ MELBOURNE
ANZ,BBVA,ANZBBVAallows switch,ANZBBVAcan switch,ANZBBVAspot,ANZBBVAon,ANZBBVAtn,ANZBBVAsn,ANZBBVA1w,ANZBBVA2w,ANZBBVA3w,ANZBBVA1m,ANZBBVA2m,ANZBBVA3m,ANZBBVA4m,ANZBBVA5m,ANZBBVA6m,ANZBBVA7m,ANZBBVA8m,ANZBBVA9m,ANZBBVA10m,ANZBBVA11m,ANZBBVA1y,ANZBBVA2y,ANZBBVA3y,ANZBBVA4y,ANZBBVA5y,ANZBBVA6y,ANZBBVA10y,ANZ SL,BARCLAYS SL
ANZ,BNP,ANZBNPallows switch,ANZBNPcan switch,ANZBNPspot,ANZBNPon,ANZBNPtn,ANZBNPsn,ANZBNP1w,ANZBNP2w,ANZBNP3w,ANZBNP1m,ANZBNP2m,ANZBNP3m,ANZBNP4m,ANZBNP5m,ANZBNP6m,ANZBNP7m,ANZBNP8m,ANZBNP9m,ANZBNP10m,ANZBNP11m,ANZBNP1y,ANZBNP2y,ANZBNP3y,ANZBNP4y,ANZBNP5y,ANZBNP6y,ANZBNP10y,ANZ SL,BARCLAYS LDN
ANZ,BOA,ANZBOAallows switch,ANZBOAcan switch,ANZBOAspot,ANZBOAon,ANZBOAtn,ANZBOAsn,ANZBOA1w,ANZBOA2w,ANZBOA3w,ANZBOA1m,ANZBOA2m,ANZBOA3m,ANZBOA4m,ANZBOA5m,ANZBOA6m,ANZBOA7m,ANZBOA8m,ANZBOA9m,ANZBOA10m,ANZBOA11m,ANZBOA1y,ANZBOA2y,ANZBOA3y,ANZBOA4y,ANZBOA5y,ANZBOA6y,ANZBOA10y,ANZ SL,BONY SL
ANZ,MUFG,ANZMUFGallows switch,ANZMUFGcan switch,ANZMUFGspot,ANZMUFGon,ANZMUFGtn,ANZMUFGsn,ANZMUFG1w,ANZMUFG2w,ANZMUFG3w,ANZMUFG1m,ANZMUFG2m,ANZMUFG3m,ANZMUFG4m,ANZMUFG5m,ANZMUFG6m,ANZMUFG7m,ANZMUFG8m,ANZMUFG9m,ANZMUFG10m,ANZMUFG11m,ANZMUFG1y,ANZMUFG2y,ANZMUFG3y,ANZMUFG4y,ANZMUFG5y,ANZMUFG6y,ANZMUFG10y,ANZ SL,BONY SG
ANZ,BUSAN,ANZBUSANallows switch,ANZBUSANcan switch,ANZBUSANspot,ANZBUSANon,ANZBUSANtn,ANZBUSANsn,ANZBUSAN1w,ANZBUSAN2w,ANZBUSAN3w,ANZBUSAN1m,ANZBUSAN2m,ANZBUSAN3m,ANZBUSAN4m,ANZBUSAN5m,ANZBUSAN6m,ANZBUSAN7m,ANZBUSAN8m,ANZBUSAN9m,ANZBUSAN10m,ANZBUSAN11m,ANZBUSAN1y,ANZBUSAN2y,ANZBUSAN3y,ANZBUSAN4y,ANZBUSAN5y,ANZBUSAN6y,ANZBUSAN10y,ANZ SL,BBVA SL
ANZ,CA-CIB,ANZCA-CIBallows switch,ANZCA-CIBcan switch,ANZCA-CIBspot,ANZCA-CIBon,ANZCA-CIBtn,ANZCA-CIBsn,ANZCA-CIB1w,ANZCA-CIB2w,ANZCA-CIB3w,ANZCA-CIB1m,ANZCA-CIB2m,ANZCA-CIB3m,ANZCA-CIB4m,ANZCA-CIB5m,ANZCA-CIB6m,ANZCA-CIB7m,ANZCA-CIB8m,ANZCA-CIB9m,ANZCA-CIB10m,ANZCA-CIB11m,ANZCA-CIB1y,ANZCA-CIB2y,ANZCA-CIB3y,ANZCA-CIB4y,ANZCA-CIB5y,ANZCA-CIB6y,ANZCA-CIB10y,ANZ SL,BBVA MADRID
ANZ,CCB,ANZCCBallows switch,ANZCCBcan switch,ANZCCBspot,ANZCCBon,ANZCCBtn,ANZCCBsn,ANZCCB1w,ANZCCB2w,ANZCCB3w,ANZCCB1m,ANZCCB2m,ANZCCB3m,ANZCCB4m,ANZCCB5m,ANZCCB6m,ANZCCB7m,ANZCCB8m,ANZCCB9m,ANZCCB10m,ANZCCB11m,ANZCCB1y,ANZCCB2y,ANZCCB3y,ANZCCB4y,ANZCCB5y,ANZCCB6y,ANZCCB10y,ANZ SL,BNP SL
ANZ,CITI,ANZCITIallows switch,ANZCITIcan switch,ANZCITIspot,ANZCITIon,ANZCITItn,ANZCITIsn,ANZCITI1w,ANZCITI2w,ANZCITI3w,ANZCITI1m,ANZCITI2m,ANZCITI3m,ANZCITI4m,ANZCITI5m,ANZCITI6m,ANZCITI7m,ANZCITI8m,ANZCITI9m,ANZCITI10m,ANZCITI11m,ANZCITI1y,ANZCITI2y,ANZCITI3y,ANZCITI4y,ANZCITI5y,ANZCITI6y,ANZCITI10y,ANZ SL,BNP PARIS
