date,name
2034-10-03,NATIONAL_FOUNDATION_DAY
2035-10-03,NATIONAL_FOUNDATION_DAY
2036-10-03,NATIONAL_FOUNDATION_DAY
2037-10-03,NATIONAL_FOUNDATION_DAY
2038-10-03,NATIONAL_FOUNDATION_DAY
2039-10-03,NATIONAL_FOUNDATION_DAY
2040-10-03,NATIONAL_FOUNDATION_DAY
2041-10-03,NATIONAL_FOUNDATION_DAY
2042-10-03,NATIONAL_FOUNDATION_DAY
2043-10-03,NATIONAL_FOUNDATION_DAY
2044-10-03,NATIONAL_FOUNDATION_DAY
2045-10-03,NATIONAL_FOUNDATION_DAY
2046-10-03,NATIONAL_FOUNDATION_DAY
2047-10-03,NATIONAL_FOUNDATION_DAY
2048-10-03,NATIONAL_FOUNDATION_DAY
2049-10-03,NATIONAL_FOUNDATION_DAY
2050-10-03,NATIONAL_FOUNDATION_DAY
2051-10-03,NATIONAL_FOUNDATION_DAY
2052-10-03,NATIONAL_FOUNDATION_DAY
2053-10-03,NATIONAL_FOUNDATION_DAY
2054-10-03,NATIONAL_FOUNDATION_DAY
2055-10-03,NATIONAL_FOUNDATION_DAY
2056-10-03,NATIONAL_FOUNDATION_DAY
2057-10-03,NATIONAL_FOUNDATION_DAY
2058-10-03,NATIONAL_FOUNDATION_DAY
2059-10-03,NATIONAL_FOUNDATION_DAY
2060-10-03,NATIONAL_FOUNDATION_DAY
2061-10-03,NATIONAL_FOUNDATION_DAY
2062-10-03,NATIONAL_FOUNDATION_DAY
2063-10-03,NATIONAL_FOUNDATION_DAY
2064-10-03,NATIONAL_FOUNDATION_DAY
2065-10-03,NATIONAL_FOUNDATION_DAY
2066-10-03,NATIONAL_FOUNDATION_DAY
2067-10-03,NATIONAL_FOUNDATION_DAY
2068-10-03,NATIONAL_FOUNDATION_DAY
2069-10-03,NATIONAL_FOUNDATION_DAY
2070-10-03,NATIONAL_FOUNDATION_DAY
2019-01-01,NEW_YEARS_DAY
2019-02-04,SEOLLAL_B
2019-02-05,SEOLLAL
2019-02-06,SEOLLAL_A
2019-03-01,INDEPENDENCE_MOVEMENT_DAY
2019-05-01,LABOUR_DAY
2019-05-05,CHILDRENS_DAY
2019-05-06,Alternative
2019-05-12,BUDDHAS_BIRTHDAY
2019-06-06,MEMORIAL_DAY
2019-08-15,LIBERATION_DAY
2019-09-12,CHUSEOK_B
2019-09-13,CHUSEOK
2019-09-14,CHUSEOK_A
2019-12-25,CHRISTMAS
2019-10-03,NEW_YEARS_DAY
2019-10-09,NEW_YEARS_DAY
2020-01-01,NEW_YEARS_DAY
2020-01-24,SEOLLAL_B
2020-01-25,SEOLLAL
2020-01-26,SEOLLAL_A
2020-01-27,Alternative
2020-03-01,INDEPENDENCE_MOVEMENT_DAY
2020-04-15,대한민국 제21대 국회의원 선거
2020-04-30,BUDDHAS_BIRTHDAY
2020-05-01,LABOUR_DAY
2020-05-05,CHILDRENS_DAY
