name,full name,entity,deposit account,reuter code,quad code
ANZ SL,AUSTRALIA AND NEW ZEALAND BANKING GROUP,SEOUL,JP CHASE NYK,ANZH,ANZV
ANZ MELBOURNE,AUSTRALIA AND NEW ZEALAND BANKING GROUP,MELBOURNE,JP CHASE NYK,ANZR,
BARCLAYS SL,BARYCLAYS SEOUL,SEOUL,BARCLAYS NYK,BBSE,
BARCLAYS LDN,BARYCLAYS LONDON,LONDON,BARCLAYS NYK,BBSI,
BONY SL,Bank of New York Mellon Seoul,SEOUL,,BNYK,
BONY SG,Bank of New York Mellon Singapore,SINGAPORE,BONY NYK,BNYX,
BBVA SL,BANCO BILBAO VIZCAYA ARGENTARIA,SEOUL,USD CITIBANK NYK,BBKR,BBVV
BBVA MADRID,BANCO BILBAO VIZCAYA ARGENTARIA,MADRID,BBVA MADRID,BBVK,
BNP SL,BNP Paribas,SEOUL,BNP PARIBAS NYK,BNPV,BNPV
BNP PARIS,,PARIS,BNP PARIBAS NYK,BNPL,
BOA SL,BANK OF AMERICA NA,SEOUL,BOA NYK,BOAH,BKAV
MUFG SL,"MUFG Bank, Ltd., Seoul Branch",SEOUL,BTMU NYK,TMSL,BTOV
MUFG TOKYO,"MUFG Bank, Ltd., Tokyo Branch",TOKYO,MUFG NYK,TMST TMAT,
BUSAN SL,Busan,SEOUL,,PUSH,PUBV
CA-CIB SL,CREDIT AGRICOLE CORP N INVESTMENT BANK,SEOUL,JPM CHASE NYK,CASE,INDV
CCB SL,China Construction Bank,SEOUL,BOA NYK,CCBL,
CITI SL,CITIBANK KOREA INC,SEOUL,CITI NYK,CISH,CITE
DAEGU SL,DAEGU BANK LTD,SEOUL,WELLS FARGO NY,DGBH,DAEV
DBS SL,The Development Bank of Singapore,SEOUL,"BANK OF NEW YORK, NEW YORK",DBSE,DBSH
DEUTSCHE SL,Deutsche Bank,SEOUL,BTC NYK,DBSH,DEUV
DAISHIN SL,DAISHIN Securities Co. Ltd.,SEOUL,,,
HSBC SL,Hongkong and Shanghai Banking Corp Ltd,SEOUL,HSBC USA NYK,HBSH,HKSV
IBK SL,INDUSTRIAL BANK OF KOREA,SEOUL,BTC NYK,IBKH,IBKH
ICBC SL,Industrial and Commercial Bank of China,SEOUL,JPMC NYK,ICKR,INCV
ING SL,ING BANK NV,SEOUL,CHASE NYK,INGK,INGE
JPMC SL,JP Morgan Chase,SEOUL,JPM NYK,JPMS,CHAV
KOOKMIN SL,Kookmin Bank,SEOUL,DBTC NYK,CNSH,KOOV
KDB SL,KOREA DEVELOPMENT BANK,SEOUL,CHASE NYK,KDBH,KDBH
KEB HANA SL,KEB HANA BANK (KOEXKRSEXXX),SEOUL,WELLS FARGO NY,KEBH,KEBH
KEB SL,KEB HANA,SEOUL,WELLS FARGO NY,KEBH,KEBH
HANA SL,KEB HANA,SEOUL,WELLS FARGO NY,KEBH,KEBH
BOC SL,BANK OF CHINA LTD SEOUL,SEOUL,,BCSK,BCSK
MERITZ SL,"Meritz Securities Co.,Ltd",SEOUL,,UYCF,
MIRAE SL,"MIRAE ASSET DAEWOO CO., LTD",SEOUL,,MIAD,
MIZUHO SL,MIZUHO BANK,SEOUL,BNY MELLON NYK,MIZH,FUJV
MORGAN SL,MORGAN STANLEY BANK INTERNAT LTD,SEOUL,BOA NYK,MSKR,MORV
NOMURA SL,Nomura,SEOUL,CITI NYK,NISK,
NONGHYUP SL,NONGHYUP BANK,SEOUL,CITI NYK,NACF,NACF
NOVA SL,BANK OF NOVA SCOTIA,SEOUL,,BNSC,BNOV
KOREA INVEST SL,Korea Investment & Securities,SEOUL,,UYCL,
SC SL,STANDARD CHARTERED BANK KOREA LIMITED,SEOUL,CHARTERED NYK,KFBH,SCFS
SHINHAN SL,SHINHAN BANK,SEOUL,WELLS FARGO NY,SHBH,SHBH
SOCGEN SL,Societe Generale,SEOUL,SOCGEN NYK,SGSH,X
SSBT SL,STATE STREET BANK AND TRUST,SEOUL,,SSKR,
SUHYUP SL,NATIONAL FED OF FISHERIES COOP(SUHYUP BANK),SEOUL,,NFFC,NFFC
UBS SL,Union Bank of Switzerland,SEOUL,UBS STAMFORK,UBSX,
UOB SL,United Overseas Bank,SEOUL,,UOBK,UNOV
WOORI SL,Woori,SEOUL,,HAVH,HAVH
NH-INVEST SL,NH INVESTMENT & SECURITIES,SEOUL,JPMC NYK,UYCT,LGMV
HANA SEC SL,Hana Securities Co. Ltd.,SEOUL,,UYNC,
SHINHAN INVEST SL,SHINHAN INVESTMENT CORPORATE,SEOUL,,UYCH,
KB SEC SL,"KB Securities Co.,Ltd",SEOUL,,UYLD,
SAMSUNG SEC SL,SAMSUNG SECURITIES CO LTD,SEOUL,,SSCL,
KIWOOM SL,KIWOOM SECURITIES Corp,SEOUL,,,
SMBC SL,Sumitomo Mitsui Banking Corporation,SEOUL,,,
KYONGNAM SL,Kyongnam Bank,SEOUL,,KNBH,
IBK SEC SL,IBKS SECURITIES CO LTD,SEOUL,,,
